model,context_tokens,batch_size,factor,endpoint,value,rom_per_user_tokens_s,speed_ratio_vs_fastest_gpu,partial_tco_ratio_vs_cheapest_gpu,binding_constraint,baseline_speed_ratio
DeepSeek-V4-Flash-0731,1000000,1,ROM array bandwidth (B/s/wafer),pessimistic,30000000000000.0,1371.7763621223755,0.8305480721328237,0.6884930988911943,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM array bandwidth (B/s/wafer),optimistic,2000000000000000.0,7897.599320187397,4.781636475868933,3.9767815011924696,kv_beachfront_C8,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM low-precision peak compute (op/s/wafer; higher-precision roof scales proportionally),pessimistic,500000000000000.0,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM low-precision peak compute (op/s/wafer; higher-precision roof scales proportionally),optimistic,3e+16,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM capacity (bytes/wafer),pessimistic,128000000000.0,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM capacity (bytes/wafer),optimistic,192000000000.0,4433.927217807143,2.684540865705962,1.7484134481075213,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM HBM bandwidth (B/s/wafer),pessimistic,4000000000000.0,4202.9182607258645,2.5446754698243597,2.1124325608203316,kv_beachfront_C8,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM HBM bandwidth (B/s/wafer),optimistic,16000000000000.0,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM HBM capacity (bytes/wafer),pessimistic,192000000000.0,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM HBM capacity (bytes/wafer),optimistic,768000000000.0,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM shared-KV reread amplification,pessimistic,2.0,4203.034861996675,2.544746066580037,2.1124912893098045,kv_beachfront_C8,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,ROM shared-KV reread amplification,optimistic,1.0,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,collective injection bandwidth (B/s),pessimistic,128000000000.0,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,collective injection bandwidth (B/s),optimistic,1024000000000.0,4525.3201791919655,2.7398751388284657,2.2748427606907535,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,collective floor (s/layer),pessimistic,1e-06,3600.587383859925,2.179991573541818,1.809148491837581,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,collective floor (s/layer),optimistic,5e-08,4400.452232523085,2.664273287651669,2.2119342157707282,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,pipeline efficiency,pessimistic,0.65,3075.0472565318883,1.861800976566215,1.5446793579893887,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,pipeline efficiency,optimistic,0.98,4632.608931265813,2.8048335888039446,2.3289011858916933,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,defect-repair efficiency,pessimistic,0.75,3592.1090108062303,2.174858305037559,1.8048807897157644,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,defect-repair efficiency,optimistic,0.98,4612.309938474993,2.7925434737427914,2.318672905658644,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,load-balance efficiency,pessimistic,0.6,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,load-balance efficiency,optimistic,0.96,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,weight encoding: released vs uniform MXFP4,endpoint_a,166878536440,4349.596649156201,2.633482549533682,2.186315399000365,rom_full_array_read_C4,2.633482549533682
DeepSeek-V4-Flash-0731,1000000,1,weight encoding: released vs uniform MXFP4,endpoint_b,162815516380.0,6759.675649981464,3.4066712575863964,2.534510619511694,rom_full_array_read_C4,2.633482549533682
